央视,#genre#
浙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.66.2/PLTV/88888888/224/3221225514/index.m3u8
江苏卫视,http://39.134.65.208/PLTV/88888888/224/3221225503/index.m3u8
湖南卫视,http://39.134.65.208/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.66.2/PLTV/88888888/224/3221225506/index.m3u8
东方卫视,http://39.134.65.208/PLTV/88888888/224/3221225672/index.m3u8
贵州卫视,http://39.134.66.110/PLTV/88888888/224/3221225576/index.m3u8
江苏卫视,http://39.135.133.167/PLTV/88888888/224/3221225938/index.m3u8
江苏卫视,http://39.134.66.110/PLTV/88888888/224/3221225503/index.m3u8
东南卫视,http://39.135.133.157/PLTV/88888888/224/3221225500/index.m3u8
湖南卫视,http://39.134.66.110/PLTV/88888888/224/3221225506/index.m3u8
深圳卫视,http://39.134.66.110/PLTV/88888888/224/3221225668/index.m3u8
东方卫视,http://39.134.66.110/PLTV/88888888/224/3221225672/index.m3u8
康巴卫视,http://39.134.66.110/PLTV/88888888/224/3221225527/index.m3u8
北京卫视,http://39.135.133.162/PLTV/88888888/224/3221225931/index.m3u8
西藏卫视,http://39.135.133.170/PLTV/88888888/224/3221225951/index.m3u8
西藏卫视,http://39.134.66.110/PLTV/88888888/224/3221225570/index.m3u8
黑龙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225969/index.m3u8
江西卫视,http://39.135.133.167/PLTV/88888888/224/3221225995/index.m3u8
湖北卫视,http://39.135.133.179/PLTV/88888888/224/3221225569/index.m3u8
内蒙古卫视,http://39.135.133.157/PLTV/88888888/224/3221225577/index.m3u8
甘肃卫视,http://39.135.133.173/PLTV/88888888/224/3221225584/index.m3u8
新疆卫视,http://39.135.133.158/PLTV/88888888/224/3221225999/index.m3u8
浙江卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002520
湖南卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002475
东方卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002483
江苏卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002521
北京卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002309
江西卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002503
河南卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002525
湖北卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002508
山东卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002513
广东卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002485
广西卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002509
重庆卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002531
河北卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002493
贵州卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002490
安徽卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002532
深圳卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002481
四川卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002516
东南卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002484
海南卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002506
辽宁卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002505
黑龙江卫视高清,video://https://yangshipin.cn/#/tv/home?pid=600002498
地方,#genre#
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
